KEY,Portuguese
E_C19_Mar_Veronica01_01,"Ah, há tantas coisas a serem feitas na guilda."
E_C19_Mar_Veronica01_02,Eu nunca vou poder tirar um dia de folga para o meu aniversário...
E_C19_Mar_Veronica01_03,Ah! Não há tempo para isso. Eu tenho que começar!
E_C19_Mar_Veronica01_04,Hã? Você já terminou de organizar os manuais de treino?
E_C19_Mar_Veronica01_05,É isso aí. Tivemos uma mãozinha hoje.
E_C19_Mar_Veronica01_06,Uma mãozinha?
E_C19_Mar_Veronica01_07,Uma pessoa muito confiável ajudou. Não se preocupe.
E_C19_Mar_Veronica01_08,"Hum... Certo. Te vejo amanhã, então."
E_C19_Mar_Veronica01_09,"Hum... Turan é a próxima, eu acho...? ...Puxa vida! Ela não está de serviço hoje!"
E_C19_Mar_Veronica01_10,"É o Sr. Kumuro, então."
E_C19_Mar_Veronica01_11,Hum? O que foi isso que acabou de acontecer?
E_C19_Mar_Veronica01_12,Hã? Não há mais nenhum serviço de contabilidade para hoje?
E_C19_Mar_Veronica01_13,Isso mesmo! Já está tudo pronto!
E_C19_Mar_Veronica01_14,Já? Você costuma entregá-los pra mim bem quando estou de saída.
E_C19_Mar_Veronica01_15,"Não se preocupe. Na verdade, nós tivemos duas pessoas diferentes trabalhando aqui hoje."
E_C19_Mar_Veronica01_16,"...Tudo bem. Te vejo amanhã, então."
E_C19_Mar_Veronica01_17,Até mais. Espero que você possa relaxar hoje!
E_C19_Mar_Veronica01_18,Hum... O que está acontecendo aqui hoje...?
E_C19_Mar_Veronica01_19,................................
E_C19_Mar_Veronica01_20,"Sinto muito, Sr. Havelock. Não consegui pegar a comida favorita do Ikko hoje."
E_C19_Mar_Veronica01_21,Hum? O que quer dizer? Eu já recebi a enguia vermelha.
E_C19_Mar_Veronica01_22,O Ikko acabou de devorá-la. Hahaha!
E_C19_Mar_Veronica01_23,A enguia tem uma cicatriz muito peculiar. Eu nunca vi tamanha habilidade nesse continente.
E_C19_Mar_Veronica01_24,Hahaha... Isso explica.
E_C19_Mar_Veronica01_25,Feliz aniversário. Você tem uma ótima amiga.
E_C19_Mar_Veronica01_26,"Obrigada. Haha, é, eu acho que sim."
E_C19_Mar_Veronica01_27,"Ei, espere! Turan, pare!"
E_C19_Mar_Veronica01_28,"Ah, você me pegou."
E_C19_Mar_Veronica01_29,Como é que eu não desconfiei? Você estava me ajudando com meu trabalho em seu dia de folga?
E_C19_Mar_Veronica01_30,"É o seu aniversário, mas há muito a ser feito."
E_C19_Mar_Veronica01_31,"Você me ajudou, mesmo eu sendo uma estranha aqui. Eu queria ajudar também."
E_C19_Mar_Veronica01_32,Eu quero que você descanse um pouco. Pelo menos hoje.
E_C19_Mar_Veronica01_33,"Heh, heh. Obrigada, mas é assim que eu faço as coisas."
E_C19_Mar_Veronica01_34,Não tente se esconder da próxima vez.
E_C19_Mar_Veronica01_35,"Sinto muito, Veronica."
E_C19_Mar_Veronica01_36,Não tem que se desculpar. Obrigada pelas gentis palavras.
E_C19_Mar_Veronica01_37,"Acho que posso encerrar por hoje, graças a você! Venha, vamos pegar algo para comer!"
E_C19_Mar_Veronica01_38,Só quero dizer uma coisa.
E_C19_Mar_Veronica01_39,"Feliz aniversário, Veronica! E vou dizer isso outra vez no ano que vem também."
E_C19_Mar_Veronica01_40,"*Risos* Obrigada, Turan! Esperarei ansiosamente!"
E_C19_Mar_Kaulah01_01,Hahaha. Uma ilha solitária! É aconchegante e calorosa.
E_C19_Mar_Kaulah01_02,"Descansar não foi bem escolha minha,"
E_C19_Mar_Kaulah01_03,mas isso é bem legal! Não há nada como um dia relaxante na praia!
E_C19_Mar_Kaulah01_04,"Muito... bom, Zzz… Zzz…"
E_C19_Mar_Kaulah01_05,"Hum, você tem certeza de que vai conseguir dessa vez?"
E_C19_Mar_Kaulah01_06,Meu amigo! Quando foi que eu menti para... *Pigarreia* Confie em mim dessa vez.
E_C19_Mar_Kaulah01_07,Estamos aqui nessa ilha deserta para prevenir possíveis acidentes.
E_C19_Mar_Kaulah01_08,Esse experimento de distorção pode nos dizer se vivemos em um mundo multidimensional.
E_C19_Mar_Kaulah01_09,"Um mundo como esse em outra dimensão! É bem empolgante, não acha?"
E_C19_Mar_Kaulah01_10,"Hum, eu trouxe Rephy, como havia pedido, mas..."
E_C19_Mar_Kaulah01_11,"Uau! É o mar! Tio Oddy, posso ir nadar?"
E_C19_Mar_Kaulah01_12,"Espere um pouco, peludinho. Você poderia me fazer um favor primeiro?"
E_C19_Mar_Kaulah01_13,Sim? O que você quer que Rephy faça?
