KEY,ChineseSimplified
MENU_ARCHIVE,图鉴
ARCHIVE_SELECT,选择图鉴
ARCHIVE_HERO,英雄图鉴
ARCHIVE_HERO_DESC,可以浏览英雄的档案、声音等相关的信息。
ARCHIVE_MONSTER,怪物图鉴
ARCHIVE_MONSTER_DESC,可以浏览怪物相关介绍、技能信息等。
ARCHIVE_ITEM,道具图鉴
ARCHIVE_ITEM_DESC,可以浏览专属武器、神器等道具相关的介绍与信息等。
ARCHIVE_UNIQUE_WEAPON,专属武器图鉴
ARCHIVE_UNIQUE_WEAPON_DESC,可以浏览专属武器的相关介绍与信息。
ARCHIVE_ARTIFACT,神器图鉴
ARCHIVE_ARTIFACT_DESC,可以浏览神器道具的相关介绍与信息。
ARCHIVE_EQUIMENT,一般装备图鉴
ARCHIVE_EQUIMENT_DESC,可以浏览装备道具的相关介绍与信息。
ARCHIVE_NORMAL_ITEM,一般道具图鉴
ARCHIVE_NORMAL_TEM_DESC,可浏览消耗品等一般道具相关的介绍与信息。
ARCHIVE_TREASURE,专属宝物图鉴
ARCHIVE_TREASURE_DESC,可浏览专属宝物相关的信息与介绍。
ARCHIVE_COLLECT_RATE,收藏率
ARCHIVE_PROFILE,个人信息
ARCHIVE_HERO_SKILL_SHOW,显示技能特性
ARCHIVE_HERO_SKILL_HIDE,隐藏技能特性
ARCHIVE_HERO_SKILL_SHOW2,浏览技能特性
ARCHIVE_TRANSCEND,突破
ARCHIVE_VOICE,声音
ARCHIVE_ILLUST,插图
ARCHIVE_UI_HIDE,隐藏UI
ARCHIVE_SHOW_ANI,浏览动作
ARCHIVE_HERO_NAME,名字
ARCHIVE_HERO_TITLE,称号
ARCHIVE_HERO_GENDER,性别
HERO_GENDER_MALE,男
HERO_GENDER_FEMALE,女
HERO_GENDER_PAVEL,男（＋女）
HERO_GENDER_KARA,无性（女性样貌）
HERO_GENDER_RAVRIL,女（兔子：男）
ARCHIVE_HERO_RACE,种族
ARCHIVE_HERO_AGE,年龄
ARCHIVE_HERO_AGE_DESC,{1}岁
ARCHIVE_HERO_LENGTH,身高
ARCHIVE_HERO_LENGTH_DESC,{1}CM
ARCHIVE_HERO_BIRTH,生日
ARCHIVE_HERO_BIRTH_DESC,{1}月{2}日
ARCHIVE_HERO_CONSTELL,星座
ARCHIVE_HERO_LIKE,喜欢的事物
ARCHIVE_HERO_UNLIKE,讨厌的事物
ARCHIVE_HERO_STORY,故事
ARCHIVE_HERO_NOTHOLDING,这是未持有的英雄。
ARCHIVE_CV_NAME,配音员（CV）
ARCHIVE_VOCIE_NOINFO,没有配音员信息
HERO_VOICE_ATTACK_1,大喊
HERO_VOICE_ATTACK_2,基本攻击2
HERO_VOICE_ATTACK_3,基本攻击3
HERO_VOICE_SKILL_1,使用技能1
HERO_VOICE_SKILL_2,使用技能2
HERO_VOICE_SKILL_3,使用技能3
HERO_VOICE_SKILL_4,使用技能4
HERO_VOICE_HIT,伤害
HERO_VOICE_LOSE,死亡
HERO_VOICE_JOIN,参加队伍
HERO_VOICE_VICTORY,战斗胜利
HERO_VOICE_AWAKE,觉醒剧情画面
HERO_VOICE_TRANS,突破剧情画面
HERO_VOICE_INNREACTION,在旅馆的反应
HERO_VOICE_ATTACK_1_LEWISIA5,基本攻击（5星）
HERO_VOICE_SKILL_1_LEWSIA5,使用技能1（5星）
HERO_VOICE_SKILL_2_LEWSIA5,使用技能2（5星）
HERO_VOICE_SKILL_3_LEWSIA5,使用技能3（5星）
HERO_VOICE_SKILL_4_LEWSIA5,使用技能4（5星）
HERO_VOICE_HIT_LEWSIA5,伤害（5星）
HERO_VOICE_LOSE_LEWSIA5,死亡（5星）
HERO_VOICE_JOIN_LEWSIA5,参加队伍（5星）
HERO_VOICE_VICTORY_LEWSIA5,战斗胜利（5星）
HERO_VOICE_AWAKE_LEWSIA5,觉醒剧情画面（5星）
HERO_VOICE_TRANS_LEWSIA5,突破剧情画面（5星）
HERO_VOICE_INNREACTION_LEWSIA5,在旅馆的反应（5星）
HERO_VOICE_ATTACK_1_LEWISIA3,基本攻击（3－4星）
HERO_VOICE_SKILL_1_LEWSIA3,使用技能1（3－4星）
HERO_VOICE_SKILL_2_LEWSIA3,使用技能2（3－4星）
HERO_VOICE_SKILL_3_LEWSIA3,使用技能3（3－4星）
HERO_VOICE_SKILL_4_LEWSIA3,使用技能4（3－4星）
HERO_VOICE_HIT_LEWSIA3,伤害（3－4星）
HERO_VOICE_LOSE_LEWSIA3,死亡（3－4星）
