KEY,"German"
Sub1_Theo_1_1_1,"Theos Buch"
Sub1_Theo_1_1_2,"Nachdem ich dich getroffen habe, habe ich es erkannt."
Sub1_Theo_1_1_3,"Dass diese Welt ein schöner Ort ist."
Sub1_Theo_1_1_4,"Ich wusste nur, wie man kämpft."
Sub1_Theo_1_1_5,"Du warst mein Himmel und meine Sonne. "
Sub1_Theo_1_1_6,"An diesem Tag kniete ich vor dir."
Sub1_Theo_1_1_7,"Selbst zwischen all diesen Blumen warst du so wunderschön. "
Sub1_Theo_1_1_8,"Trotz ihrer strahlenden Farben "
Sub1_Theo_1_1_9,"hat das Rot deiner Wangen"
Sub1_Theo_1_1_10,"mein Herz erwärmt."
Sub1_Theo_1_1_11,"Mein Name ist Theo Phil Grayum. "
Sub1_Theo_1_1_12,"Ich bin dein Ritter und Speer, und ich lebe für dich."
Sub1_Theo_1_1_13,"Der Tag, an dem ich mich von meiner Vergangenheit verabschiedet"
Sub1_Theo_1_1_14,"und mit dir einen neuen Anfang begrüßt habe,"
Sub1_Theo_1_1_15,"der Tag, an dem du meine Hand gehalten hast, die wund vom Halten des Speers war,"
Sub1_Theo_1_1_16,"Ich war blutverschmiert"
Sub1_Theo_1_1_17,"und du hast mir trotzdem Wärme gegeben. "
Sub1_Theo_1_1_18,"An diesem Tag habe ich eine Entscheidung getroffen."
Sub1_Theo_1_1_19,"Ich habe meine Vergangenheit hinter mir gelassen, um deine Hand zu halten."
Sub1_Theo_1_1_20,"Ja, der Himmel auf dem Weg zurück zu dir war immer klar. "
Sub1_Theo_1_1_21,"Selbst der Wind, der mein Haar zerzaust hat,"
Sub1_Theo_1_1_22,"hat mich an deine sanfte Berührung erinnert."
Sub1_Theo_1_1_23,"Ja ... an dem Tag,"
Sub1_Theo_1_1_24,"an dem Tag, als ich dich verloren habe, habe ich es erkannt."
Sub1_Theo_1_1_25,"Es war ein kurzer Moment"
Sub1_Theo_1_1_26,"aber ich habe erkannt,"
Sub1_Theo_1_1_27,"dass diese wunderbaren Tage nie wieder kommen würden."
Sub1_Theo_1_1_28,"An diesem Tag bist du eingeschlafen."
Sub1_Theo_1_1_29,"Ich wünschte, ich wäre neben dir eingeschlafen. "
Sub1_Theo_1_1_30,"... Und ich habe meinen Wunsch wahrgemacht."
Sub1_Theo_1_1_31,"Ich will dich treffen ..."
Sub1_Theo_2_1_1,"Mein lieber Speer. Leute sind in Gefahr."
Sub1_Theo_2_1_2,"Bitte gehe und halte den Berserker-Golem auf."
Sub1_Theo_2_1_3,"Aber, meine Dame!"
Sub1_Theo_2_1_4,"Sorge dich nicht um mich, ich beschütze diesen Ort. "
Sub1_Theo_2_1_5,"Ich werde hier sein, wenn du zurückkommst."
Sub1_Theo_2_1_6,"Aber!"
Sub1_Theo_2_1_7,"Theo ..."
Sub1_Theo_2_2_1,"Jetzt, da du weg bist, gibt es hier nichts mehr."
Sub1_Theo_2_2_2,"Die letzten 100 Jahre haben nichts zurückgelassen."
Sub1_Theo_2_2_3,"Die Republik der Grauen ... "
Sub1_Theo_2_2_4,"Es gibt keine Spuren mehr von der großen Republik der Grauen."
Sub1_Theo_2_2_5,"...!?"
Sub1_Theo_2_3_1,"Selbst bei der Macht des heiligen Schwertes ..."
Sub1_Theo_2_3_2,"Ich kann nicht glauben, gegen eine Göre verloren zu haben ..."
