KEY,Spanish
CHAPTER1_TITLE,Capítulo 1. El Principio del Viaje
CHAPTER2_TITLE,Capítulo 2. Sucesión
CHAPTER3_TITLE,Capítulo 3. Donde Apunta la Espada
CHAPTER4_TITLE,Capítulo 4. Invadiendo la Obscuridad
CHAPTER5_TITLE,Capítulo 5. La Reina en la Niebla
CHAPTER6_TITLE,Capítulo 6. Obscuridad Dorada
CHAPTER7_TITLE,Capítulo 7. El Camino de la Luz
CHAPTER8_TITLE,Capítulo 8. Puerta infernal
CHAPTER9_TITLE,Capítulo 9: Pandemonio
CHAPTER95_TITLE,El último capítulo
CHAPTER1_BACKGROUND,Llanuras del Rey
CHAPTER2_BACKGROUND,Bosque de Elidora
CHAPTER3_BACKGROUND,Montaña Ogria
CHAPTER4_BACKGROUND,Llanuras Galluah
CHAPTER5_BACKGROUND,Costa Arrovina
CHAPTER6_BACKGROUND,Desierto de Aegina
MAP_LAMUS_PLAIN,Llanuras del Rey
MAP_ELLIDORA_FOREST,Bosque de Elidora
MAP_KRAD_MOUNTAIN,Montaña Ogria
MAP_KRAD_FOREST,Llanuras Galluah
MAP_SICRAKAM_PLAIN,Costa Arrovina
MAP_HALLA_DESERT,Desierto de Aegina
MAP_BALLUTUA_SNOW_MOUNTAIN,Montaña Nev. Tierras del Viento
MAP_DIZARSTOM_VOLCANO,Volcan Dragia
MAP_GARGOSS_SWAMP,Pantanos de Gargoss
MAP_Mysterious_Ruins,Ruina oscura
MAP_ Realm_Empire,Imperio
MAP_ OrvelianCapital_ Orvel,Orvel
MAP_ LandofDeath_Galua,Galluah
MAP_Border,Frontera
MAP_Border_Outskirts,Periferia
MAP_Imperial_Office,Sala imperial
MAP_Present,Presente
MAP_Past,Pasado
TITLE_DARKNESS,Obscuridad de
HERO_GROUP_1,Cleo & Roi
HERO_GROUP_2,Grupo
HERO_GROUP_3,Luna & May
HERO_GROUP_4,Luna & Yanne
HERO_GROUP_5,Aisha y Artemia
HERO_GROUP_6,Soldado 1 y 2
HERO_GROUP_7,Unidad de orcos
HERO_GROUP_8,Epis y Jane
HERO_GROUP_9,Half Breed
HERO_GROUP_10,Súcubo
HERO_GROUP_11,Theo&???
HERO_GROUP_12,Shamilla
HERO_GROUP_13,Ezekiel y Viska
HERO_GROUP_14,Sujeto de pruebas
HERO_GROUP_15,Demia y Clause
HERO_GROUP_16,Rodina y Luna
HERO_GROUP_17,Requina y Mediana
HERO_GROUP_18,Aselica y Arch
HERO_GROUP_19,Miruru y Lakrak
HERO_GROUP_20,Dimael y Ezekiel
HERO_GROUP_21,Dimael y Selene
HERO_GROUP_22,Rephy y Oddy
HERO_GROUP_23,Caballero oscuro
HERO_GROUP_24,Ezekiel y Viska (?)
HERO_GROUP_25,Sonia y Mirianne
HERO_GROUP_26,Lilia y Neraxis
HERO_GROUP_27,Crow y Theo
HERO_GROUP_28,Ezekiel y Mitra
HERO_GROUP_29,Pansirone y Mitra
HERO_GROUP_30,Ricardo y Demia
HERO_GROUP_31,Zafir y Laudia
HERO_GROUP_32,Leo y Clause
HERO_GROUP_33,Clause y Loman
HERO_GROUP_34,Chase y Leo
HERO_GROUP_35,Nyx y Oddy
HERO_GROUP_36,Scarlet y Artemia
HERO_GROUP_37,Neraxis y Lilia
HERO_GROUP_38,May y Requina
HERO_GROUP_39,Ricardo y Mirianne
HERO_GROUP_40,Fluss y Chrisha
HERO_GROUP_41,Theo y Ezekiel
HERO_GROUP_42,Mitra y Rodina
HERO_GROUP_43,Frey y Kasel
HERO_GROUP_44,Frey y Cleo
HERO_GROUP_45,Glenwys y Chrisha
HERO_GROUP_46,Ophelia y Shea
HERO_GROUP_47,Seria y Erze
HERO_GROUP_48,Cecilia y Leo
HERO_GROUP_49,Dosarta y Leo
HERO_GROUP_50,Dosarta y Mitra
HERO_GROUP_51,Clause y Demia
HERO_GROUP_52,Clause & Frey
NPC_KYLE_NAME,Kyle
NPC_BLACKKNIGHT_NAME,Caballero Negro
NPC_MALDUK_NAME,Malduk
NPC_IzakerrR_NAME,Izakerr
NPC_TARKAS_NAME,Tarcas
NPC_SIEG_NAME,Sieg
