KEY,"Vietnamese"
NORMALBOSS_TITLE,"Boss"
CREATURE_RACE_TYPE.HERO,"Tướng"
CREATURE_RACE_TYPE.DARKNESS,"Mặt trái của Anh hùng"
CREATURE_RACE_TYPE.FAIRY,"Nàng tiên "
CREATURE_RACE_TYPE.NPC,"NPC"
CREATURE_RACE_TYPE.GOBLIN,"Yêu tinh"
CREATURE_RACE_TYPE.ORC,"Thủy quái"
CREATURE_RACE_TYPE.SLIME,"Chất nhờn"
CREATURE_RACE_TYPE.GOLEM,"Quái vật đá"
CREATURE_RACE_TYPE.SPIDER,"Nhện"
CREATURE_RACE_TYPE.GIANT_WORM,"Sâu khổng lồ"
CREATURE_RACE_TYPE.SKELETON,"Xương ma"
CREATURE_RACE_TYPE.BOAR,"Lợn đực"
CREATURE_RACE_TYPE.ENT,"Người cây"
CREATURE_RACE_TYPE.DRYAD,"Nữ thần rừng"
CREATURE_RACE_TYPE.HARPY,"Tiên nữ cánh chim"
CREATURE_RACE_TYPE.DARK_ELF,"Tiên bóng tối"
CREATURE_RACE_TYPE.LAUGHING_MASK,"Mặt Nạ Cười"
CREATURE_RACE_TYPE.LIVING_WEAPON,"Vũ khí sống"
CREATURE_RACE_TYPE.MUHROOM,"Nấm"
CREATURE_RACE_TYPE.WASP,"Ong bắp cày"
CREATURE_RACE_TYPE.NEPENTHES,"Cây nắp ấm"
CREATURE_RACE_TYPE.TORTOISE,"Rùa"
CREATURE_RACE_TYPE.MIMIC,"Kẻ bắt chước"
CREATURE_RACE_TYPE.WOLF,"Chó sói"
CREATURE_RACE_TYPE.HORNED_BEAR,"Gấu sừng"
CREATURE_RACE_TYPE.GNOLL,"Gnoll"
CREATURE_RACE_TYPE.BARRICADE,"Chướng ngại vật"
CREATURE_RACE_TYPE.Scorpion,"Bọ cạp"
CREATURE_RACE_TYPE.Hydra,"Hydra"
CREATURE_RACE_TYPE.Mummy,"Xác ướp"
CREATURE_RACE_TYPE.Lizardman,"Thằn lằn"
CREATURE_RACE_TYPE.FrostGiant,"Sương giá Khổng lồ"
CREATURE_RACE_TYPE.BOSS,"Boss"
CREATURE_RACE_TYPE.RAID,"Tấn công"
CREATURE_NAME_1,"Kasel"
CREATURE_TITLE_1,"Chiến binh của Kiếm thánh "
CREATURE_DESC_1,"Được chọn bởi Kiếm thánh Aea, chiến binh này nắm giữ thanh gươm có thể hạn chế sự di chuyển của kẻ thù.\nKhi vung thanh gươm này, anh ấy có thể đẩy lùi kẻ thù và tự cường hoá bằng sức mạnh của kiếm thánh."
CREATURE_NAME_2,"Frey"
CREATURE_TITLE_2,"Nữ Linh mục của Ánh sáng"
CREATURE_DESC_2,"Một người bạn từ nhỏ của Kasel, cô ấy cũng là một nữ Linh mục phục vụ Nữ thần. Cô ấy trị thương và bảo vệ mọi thành viên bằng sức mạnh của ánh sáng.\nVới phước lành của Nữ thần, cô ấy có thể tăng sức mạnh phép thuật và sức kháng cự tạm thời."
CREATURE_NAME_3,"Cleo"
CREATURE_TITLE_3,"Nữ phù thủy chuộc tội"
