KEY,ChineseTraditional
NORMALBOSS_TITLE,Boss
CREATURE_RACE_TYPE.HERO,英雄
CREATURE_RACE_TYPE.DARKNESS,英雄的黑暗面
CREATURE_RACE_TYPE.FAIRY,妖精
CREATURE_RACE_TYPE.NPC,NPC
CREATURE_RACE_TYPE.GOBLIN,哥布林
CREATURE_RACE_TYPE.ORC,獸人族
CREATURE_RACE_TYPE.SLIME,史萊姆
CREATURE_RACE_TYPE.GOLEM,魔像
CREATURE_RACE_TYPE.SPIDER,蜘蛛
CREATURE_RACE_TYPE.GIANT_WORM,巨型沙蟲
CREATURE_RACE_TYPE.SKELETON,骷髏
CREATURE_RACE_TYPE.BOAR,野豬
CREATURE_RACE_TYPE.ENT,樹人
CREATURE_RACE_TYPE.DRYAD,林精
CREATURE_RACE_TYPE.HARPY,鷹身人族
CREATURE_RACE_TYPE.DARK_ELF,黑暗精靈
CREATURE_RACE_TYPE.LAUGHING_MASK,獰笑面具
CREATURE_RACE_TYPE.LIVING_WEAPON,魔靈武器
CREATURE_RACE_TYPE.MUHROOM,蘑菇
CREATURE_RACE_TYPE.WASP,黃蜂
CREATURE_RACE_TYPE.NEPENTHES,豬籠草
CREATURE_RACE_TYPE.TORTOISE,巨龜
CREATURE_RACE_TYPE.MIMIC,寶箱怪
CREATURE_RACE_TYPE.WOLF,狼
CREATURE_RACE_TYPE.HORNED_BEAR,角熊
CREATURE_RACE_TYPE.GNOLL,豺狼
CREATURE_RACE_TYPE.BARRICADE,木柵欄
CREATURE_RACE_TYPE.Scorpion,蠍子
CREATURE_RACE_TYPE.Hydra,九頭蛇
CREATURE_RACE_TYPE.Mummy,木乃伊
CREATURE_RACE_TYPE.Lizardman,蜥蜴人
CREATURE_RACE_TYPE.FrostGiant,冰霜巨人
CREATURE_RACE_TYPE.BOSS,BOSS
CREATURE_RACE_TYPE.RAID,逆襲
CREATURE_NAME_1,凱瑟
CREATURE_TITLE_1,聖劍勇者 凱瑟
CREATURE_DESC_1,拯救世界的聖劍埃亞選擇的勇者，揮舞聖劍擊敗敵人，\n透過聖劍的力量能強化自己。
CREATURE_NAME_2,芙萊兒
CREATURE_TITLE_2,聖光牧師 芙萊兒
CREATURE_DESC_2,凱瑟的青梅竹馬，同時也是供奉女神的神官。利用光之力治癒和保護我軍，\n還能藉由女神的祝福增強魔力與魔法抵抗力。
CREATURE_NAME_3,克麗歐
CREATURE_TITLE_3,煉獄法師克麗歐
CREATURE_DESC_3,來自法師聚集地－紅色之塔的一位精明靈巧的小姐，利用強大的火焰魔法讓敵人\n燃起火花，進而引爆火苗造成更大的傷害。
CREATURE_NAME_4,羅伊
CREATURE_TITLE_4,神速刺客 羅伊
CREATURE_DESC_4,有著不為人知的過去且前一份工作是刺客。對單一對象能發揮強大的殺傷力，\n能避開敵人的視線不斷發動猛攻與蹂躪對方。
CREATURE_NAME_5,高爾
CREATURE_TITLE_5,酷寒戰士 高爾
CREATURE_DESC_5,居住在酷寒雪原地帶的野蠻人王國的戰士。\n強大的吶喊聲能降低敵人的士氣，如同暴風般貫穿敵陣。
CREATURE_NAME_6,菲洛普
CREATURE_TITLE_6,矮人之王 菲洛普
CREATURE_DESC_6,過去狩獵無數巨龍的矮人族王，同時也是名英雄豪傑。\n利用小小身軀爆發的強大力量揮動盾破壞陣型，以強力的一擊終結敵人的生命。
CREATURE_NAME_7,拉克拉克
CREATURE_TITLE_7,火槍獵手 拉克拉克
CREATURE_DESC_7,精通機械工學的白化哥布林。\n使用巨大火槍造成爆炸性傷害，利用特製彈藥妨礙敵人且造成致命傷。
CREATURE_NAME_8,卡爾洛
CREATURE_TITLE_8,雷電薩滿 卡爾洛
CREATURE_DESC_8,長期以來守護天風族的酋長。\n使用風和天空的力量消滅敵人，\n召喚強大的閃電麻痺敵人，賦予我軍風的祝福並治癒他們。
CREATURE_NAME_9,愛比絲
CREATURE_TITLE_9,魅惑惡魔 愛比絲
CREATURE_DESC_9,一心只想追求樂趣的殘忍惡魔。\n使用巨大鐮刀奪取敵人的靈魂，也會突然現身在敵陣當中\n斬殺周圍的所有敵人。
CREATURE_NAME_10,瑟琳
CREATURE_TITLE_10,破風之箭 瑟琳
CREATURE_DESC_10,守護神聖之森的精靈族公主。\n蘊含月光之力的箭矢會依照她的意志追擊敵人，\n蘊含風之力的箭矢會成為她的力量射穿敵人。
CREATURE_NAME_11,瑪莉亞
CREATURE_TITLE_11,墮落女巫 瑪莉亞
CREATURE_DESC_11,過去曾賜予祝福給拯救世界的英雄的聖女。\n充滿憎恨的詛咒烏鴉會對敵人發射尖銳的羽毛，並且破壞敵人的陣型。
CREATURE_NAME_12,米露露
CREATURE_TITLE_12,受詛咒之海盜女王 米露露
CREATURE_DESC_12,遭受詛咒而變成年幼少女的傳說中的海賊。\n能利用從船艦上拆下的大炮精準射中敵人。
CREATURE_NAME_13,羅蘭
CREATURE_TITLE_13,艾莉朵拉大賢者 羅蘭
CREATURE_DESC_13,先前魔王入侵時曾加入人類聯軍的精靈族德魯伊。\n與大自然產生共鳴，透過樹木攻擊敵人。
CREATURE_NAME_14,瑪雅
CREATURE_TITLE_14,勇猛獸王 瑪雅
CREATURE_DESC_14,操控裝甲怪獸的冷酷獵人。\n利用迴轉的迴旋鏢切斷敵人退路，藉由裝甲怪獸強大的咬合力無情地撕裂敵人。
CREATURE_NAME_15,克勞斯
CREATURE_TITLE_15,鐵壁騎士 克勞斯
CREATURE_DESC_15,凱瑟的義兄，同時也是正式的騎士。如同鋼鐵般堅強的他會在前線保護我軍，\n人們說他抵擋敵人攻擊且壓制敵人的英姿就像是堅固的堡壘一樣。
CREATURE_NAME_16,樂皮
CREATURE_TITLE_16,靈魂引渡者 樂皮
CREATURE_DESC_16,可利用靈魂之燈引導靈魂的獸人族。\n借助靈魂的力量治癒我軍，\n也會利用靈魂妨礙敵人和補充魔力。
CREATURE_NAME_17,迪麥
CREATURE_TITLE_17,暗影獵者 迪麥
CREATURE_DESC_17,從影子中狩獵敵人的黑暗精靈。\n他的報復之弩在黑暗中射穿敵人。
CREATURE_NAME_18,蕾娜
CREATURE_TITLE_18,電光一閃 蕾娜
CREATURE_DESC_18,使用輕盈單手劍的傭兵。\n藉由敏捷的身手避開敵人的攻擊，\n利用如同光一般的速度擊倒敵人。
CREATURE_NAME_19,帕菲
CREATURE_TITLE_19,冰龍魔法師 帕菲
CREATURE_DESC_19,受冰龍詛咒獲得力量的法師。\n使用強大冰魔法凍結敵人是其主要技能。
CREATURE_NAME_20,黛彌兒
CREATURE_TITLE_20,鋼鐵壁壘 黛彌兒
CREATURE_DESC_20,使用巨大長矛與盾牌的守護騎士。\n利用如同要塞般的堅強擋住敵人的攻擊，\n使用巨大的長矛擊敗敵人。
CREATURE_NAME_21,奈拉
CREATURE_TITLE_21,風之格鬥家 奈拉
CREATURE_DESC_21,專門使用拳套近距離戰鬥的鷹身人族。\n穿梭在敵陣當中肆意蹂躪敵人，\n使用強烈的連續攻擊粉碎敵人。
CREATURE_NAME_22,羅迪娜
CREATURE_TITLE_22,酷寒狙擊手 羅迪娜
CREATURE_DESC_22,來自酷寒環境的帝國狙擊手。\n無論在何種狀況下都能冷靜瞄準敵人，只要集中精神就能變得更強。
CREATURE_NAME_23,莫拉
CREATURE_TITLE_23,惡魔之火 莫拉
CREATURE_DESC_23,操控魔王軍熔岩的惡魔騎士。\n讓敵人承受無止盡的苦痛，利用如同花崗岩般的堅強體魄承受攻擊後擊倒敵人。
CREATURE_NAME_24,巴杜因
CREATURE_TITLE_24,聖光惡棍 巴杜因
CREATURE_DESC_24,自由奔放但信仰虔誠的露亞教團牧師。\n一邊使用能讓我軍回復且攻擊敵人的神聖爆發，同時保護我軍。
CREATURE_NAME_25,珍
CREATURE_TITLE_25,石棺之屍 珍
CREATURE_DESC_25,過去曾和魔王軍戰鬥，但後來變成不死族的少女。\n拖著自己沉睡的棺材行動，\n對敵人留下死亡標誌，藉此回復自己。
CREATURE_NAME_26,愛紗
CREATURE_TITLE_26,紫羅蘭公主 愛紗
CREATURE_DESC_26,奧勒貝利亞的貴族千金。\n賢者之塔首屈一指的天才，獲得「紫色」的稱號。\n利用華麗的陽傘發射強大魔力砲穿破敵人。
CREATURE_NAME_27,里歐
CREATURE_TITLE_27,永恆書記官 里歐
CREATURE_DESC_27,奧勒貝利亞皇家大書庫的書記官。\n使用紋樣治癒我軍，清除對敵人有益的魔法。
CREATURE_NAME_28,弗魯斯
CREATURE_TITLE_28,翔舞之刃 弗魯斯
CREATURE_DESC_28,皇帝的直屬菁英護衛騎士團的副騎士團長。\n他施展的迅捷劍術連魔法都能切穿，\n可優先擊倒強悍的敵人。
CREATURE_NAME_29,露娜
CREATURE_TITLE_29,月光之子 露娜
CREATURE_DESC_29,攜帶和自己身體一樣巨大的彈弓的謎樣孩子。\n巨大彈弓發射的子彈會隨著距離越遠越強。
CREATURE_NAME_30,萊雅絲
CREATURE_TITLE_30,水之聖女 萊雅絲
CREATURE_DESC_30,守護埃伊納沙漠綠洲的水之聖女。\n她是已經生存漫長歲月的慈祥水龍，\n她操控的水之力具備強大的治癒力量。
CREATURE_NAME_31,亞克
CREATURE_TITLE_31,淨化之箭 亞克
CREATURE_DESC_31,為了處決在地上引起混亂的魔族而降臨的高階天堂神族。\n在空中使用光之箭消滅敵人。
CREATURE_NAME_32,露伊希亞
CREATURE_TITLE_32,血色皇族 露伊希亞
CREATURE_DESC_32,100年前和英雄共同對抗魔族的吸血鬼公主。雖然是不死之身，但目前在慢慢回復過去戰爭時消耗的力量，操控鮮血與其隨從的力量攻擊敵人。
CREATURE_NAME_33,尼克斯
CREATURE_TITLE_33,次元斬擊者 尼克斯
CREATURE_DESC_33,異色瞳的神秘空間術師。\n撕裂空間召喚的無數支劍攻擊敵人。
