KEY,Vietnamese
CONVERSATION_TU_256_1,Đứng lại! Đây là khu vực cấm vào.
CONVERSATION_TU_256_2,"Trừ những người liên quan, không ai được phép vào đây!"
CONVERSATION_TU_256_3,Tôi là hiệp sĩ tập sự Kasel.
CONVERSATION_TU_256,Nhìn bầu không khí có vẻ hỗn loạn... Không biết là đã xảy ra chuyện gì vậy?
CONVERSATION_TU_257,Hóa ra là cậu chưa nghe tin gì. Người ta vừa mới phát hiện ra một ngôi mộ cổ ở dưới tầng hầm.
CONVERSATION_TU_257_1,"Nó được cho là một mộ cổ có từ thời cổ đại nên hoàng gia đã nhanh chóng thành lập một đội kiểm định,"
CONVERSATION_TU_257_2,"thế nhưng, đột nhiên rất nhiều quái vật ở đâu xuất hiện làm tình hình bây giờ trở nên rất hỗn loạn."
CONVERSATION_TU_258,Quái vật không xuất hiện nơi khác mà là ở hoàng gia này ư... 
CONVERSATION_TU_259,"Hiện tại, trừ đơn vị tập sự, tất cả các đội hiệp sĩ đều được kêu gọi tới trấn áp quái vật."
CONVERSATION_TU_260,Cho tới khi tình hình được ổn định thì công việc của các đội hiệp sĩ đều phải gác qua một bên. 
CONVERSATION_TU_261,"Kasel, hay là chúng ta quay về nhỉ?"
CONVERSATION_TU_262,Nhìn công việc của đội hiệp sĩ trong lúc này có vẻ khó khăn.
CONVERSATION_TU_263,Hừm... 
CONVERSATION_TU_264,Tuy chỉ là một hiệp sĩ tập sự nhưng tôi cũng muốn góp sức mình giúp các hiệp sĩ.
CONVERSATION_TU_265,Liệu có việc gì tôi có thể giúp được không?
CONVERSATION_TU_266,Vừa hay đang có lệnh tuyển nhân tài tiêu diệt quái vật.
CONVERSATION_TU_266_1,Càng nhiều người tham gia thì đội hiệp sĩ càng có thể nhanh chóng quay về với công việc của họ.
CONVERSATION_TU_266_2,Quốc vương cũng vừa ban lệnh thưởng cho người nào tiêu diệt được quái vật.
CONVERSATION_TU_266_3,Nếu được thì xin hiệp sĩ hãy tham gia!
CONVERSATION_TU_267,"Xem nào, còn... Ô, chỉ còn 7 năm nữa thôi!"
CONVERSATION_TU_268,Ô hô! Ở đây mà cũng có tháp cổ như thế này cơ à! Ngạc nhiên ghê!
CONVERSATION_TU_269,Ôi! Con người!? Các bạn là con người đúng không?
CONVERSATION_TU_270,Ta có thể gặp những con người mà bình thường chỉ được nghe kể trong truyện ở nơi đây ư?
CONVERSATION_TU_271,"Lâu quá không gặp, Dosarta à."
CONVERSATION_TU_272,"Ôi trời, chị! Chị đến thăm làm em vui quá!"
CONVERSATION_TU_273,Mà mấy người bên cạnh chị...?
CONVERSATION_TU_274,"À, chào hỏi đi nào. Vị này là chiến binh kiếm thánh và bên cạnh là những người bạn đồng hành của anh ấy. "
CONVERSATION_TU_275,Chiến binh... kiếm thánh? Thật hả chị?
CONVERSATION_TU_276,Woa! Không ngờ là ta có thể gặp được những người tài năng như vậy ở đây!
