KEY,German
E_C19_Dec_Pavel01_01,...
E_C19_Dec_Pavel01_02,Sie so anzusehen ... lässt viele Emotionen in mich hochkommen.
E_C19_Dec_Pavel01_03,"Es ist sinnlos, aber ich möchte sie nicht loslassen ..."
E_C19_Dec_Pavel01_04,Dieses unklare Gefühl ... scheint die ganze Zeit in meinem Kopf zu schweben.
E_C19_Dec_Pavel01_05,"(Hier, unter dieser kalten Erde, wird für immer Arlettes Körper ruhen.)"
E_C19_Dec_Pavel01_06,(Nur eine kalte unbewegliche Leiche ... ersetzt sie.)
E_C19_Dec_Pavel01_07,(Aber ...)
E_C19_Dec_Pavel01_08,Es ist kalt ...
E_C19_Dec_Pavel01_09,Ich dachte die Kälte hier würde mich niemals berühren ...
E_C19_Dec_Pavel01_10,Aber sie wühlt jeden einzelnen Teil meines Körpers ...
E_C19_Dec_Pavel01_11,"Als ich aufwachte, kam der 90. Winter."
E_C19_Dec_Pavel01_12,Und ... und jetzt ist es schon der 100. Winter.
E_C19_Dec_Pavel01_13,... So ist es also gewesen.
E_C19_Dec_Pavel01_14,"Als sie den Speer gegen mich richtete, obwohl sie dabei hätte sterben können ..."
E_C19_Dec_Pavel01_15,"Dies war für mich wie ein leeres Versprechen, das ich nicht abschütteln konnte ..."
E_C19_Dec_Pavel01_16,Eine traurige Verzweiflung.
E_C19_Dec_Pavel01_17,"Aber die Sehnsucht, die er fühlte ..."
E_C19_Dec_Pavel01_18,"Und die, die ich fühle, zeigen einen wesentlichen Unterschied auf."
E_C19_Dec_Pavel01_19,"Und so groß der Unterschied ist,"
E_C19_Dec_Pavel01_20,"so unterschiedlich ist der Schmerz, den wir ertragen müssen."
E_C19_Dec_Pavel01_21,"(Das Gefühl, eine kostbare Person treffen zu wollen, die irgendwo am Leben\nsein könnte ...)"
E_C19_Dec_Pavel01_22,"(Und das Gefühl, jemanden verlassen zu müssen, den man nie wieder sehen könnte ...)"
E_C19_Dec_Pavel01_23,Ich mache mir Sorgen um Euch.
E_C19_Dec_Pavel01_24,Wir sind jetzt zwar zusammen ...
E_C19_Dec_Pavel01_25,"Wenn wir weggehen ... wirst du wieder alleine sein, oder?"
E_C19_Dec_Pavel01_26,(Ja ... ich erinnere mich.)
