KEY,"ChineseSimplified"
MONTHLYHERO_FREY_BIRTHDAY_TITLE,"芙莱儿～寂静的早晨～"
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,"谭雅～今日追击依旧～"
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,"洛曼～执勤中，无异常～"
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,"普莉西拉～可爱的女人（？）～"
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,"黛弥儿～所谓上司的生日是？～"
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,"露伊希亚～红光的一夜～"
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,"索妮亚～抓米芮安！～"
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,"薇若妮卡～意外的休息～"
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,"卡尔洛～卡尔洛梦游记？～"
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,"尤莉娅～女王的来访～"
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,"阿蒂蜜雅～甜点时间～"
MONTHLYHERO_LEO_BIRTHDAY_TITLE,"里欧～拖欠可不行～"
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,"卡珊卓～邀请你～"
MONTHLYHERO_ROI_BIRTHDAY_TITLE,"罗伊～运气好的日子～"
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,"梅蒂安娜～实验派对～"
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,"莫拉～恶龙大将军的回忆～"
MONTHLYHERO_THEO_BIRTHDAY_TITLE,"希欧～创造者～"
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,"安妮特～幸福的礼物～"
MONTHLYHERO_JANE_BIRTHDAY_TITLE,"珍～被遗忘的纯洁之梦～"
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,"格兰薇丝～帝国的骑士们～"
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,"拉克拉克～结论还是火药～"
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,"鲁西亚司～圣人的苦恼～"
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,"罗兰～为了贤者，同心协力～"
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,"拉薇儿～第一次生日～"
MONTHLYHERO_KARA_BIRTHDAY_TITLE,"卡菈～吓了一跳吧！～"
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,"米露露～海盗团员们的生日祝贺～"
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,"萨蜜拉～为了目的～"
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,"伊兹凯尔～尝试制作的人～"
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,"弗鲁斯～紧急呼叫！～"
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,"迪麦～传达的心意～"
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,"希娅～准…准备好了～"
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,"妮琪～只属于他们的联赛～"
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,"雅妮～一日烹调师～"
MONTHLYHERO_FREY_BIRTHDAY_DESC,"从几年前开始，芙莱儿一到生日早晨就会突然消失。她秘密前往的地方是？"
