KEY,Vietnamese
CHAPTER1_TITLE,Chương 1: Bắt đầu cuộc hành trình
CHAPTER2_TITLE,Chương 2. Sự kế thừa
CHAPTER3_TITLE,Chương 3. Các mục tiêu của Blade
CHAPTER4_TITLE,Chương 4: Bóng tối càn quét
CHAPTER5_TITLE,Chương 5. Nữ vương trong sương mù
CHAPTER6_TITLE,Chương 6: Bóng tối bao trùm
CHAPTER7_TITLE,Chương 7. Con Đường Ánh Sáng
CHAPTER8_TITLE,Chương 8. Cổng địa ngục
CHAPTER9_TITLE,Chương 9. Xứ quỷ
CHAPTER95_TITLE,Chương cuối
CHAPTER1_BACKGROUND,Bình nguyên Nhà vua
CHAPTER2_BACKGROUND,Rừng Elidora
CHAPTER3_BACKGROUND,Ngọn núi Ogria
CHAPTER4_BACKGROUND,Bình nguyên Galluah
CHAPTER5_BACKGROUND,Bờ biển Arrovina
CHAPTER6_BACKGROUND,Sa mạc Aegina
MAP_LAMUS_PLAIN,Bình nguyên Nhà vua
MAP_ELLIDORA_FOREST,Rừng Elidora
MAP_KRAD_MOUNTAIN,Ngọn núi Ogria
MAP_KRAD_FOREST,Bình nguyên Galluah
MAP_SICRAKAM_PLAIN,Bờ biển Arrovina
MAP_HALLA_DESERT,Sa mạc Aegina
MAP_BALLUTUA_SNOW_MOUNTAIN,Ngọn Núi Tuyết
MAP_DIZARSTOM_VOLCANO,Núi lửa Dragia
MAP_GARGOSS_SWAMP,Đầm lầy Gargoss
MAP_Mysterious_Ruins,Tàn tích bí ẩn
MAP_ Realm_Empire,Đế chế
MAP_ OrvelianCapital_ Orvel,Orvel
MAP_ LandofDeath_Galua,Tử địa Galluah
MAP_Border,Biên giới
MAP_Border_Outskirts,Ven biên giới
MAP_Imperial_Office,Cung điện
MAP_Present,Hiện tại
MAP_Past,Quá khứ
TITLE_DARKNESS,Bóng tối của
HERO_GROUP_1,Cleo & Roi
HERO_GROUP_2,Nhóm
HERO_GROUP_3,Luna và May
HERO_GROUP_4,Luna và Yanne
HERO_GROUP_5,Aisha & Artemia
HERO_GROUP_6,Binh sĩ 1 và 2
HERO_GROUP_7,Đơn vị Orc
HERO_GROUP_8,Epis và Jane
HERO_GROUP_9,Hai lúa
HERO_GROUP_10,Yêu tinh
HERO_GROUP_11,Theo&???
HERO_GROUP_12,Shamilla
HERO_GROUP_13,Ezekiel và Viska
HERO_GROUP_14,Đối tượng thử nghiệm
HERO_GROUP_15,Demia và Clause
HERO_GROUP_16,Rodina và Luna
HERO_GROUP_17,Requina và Mediana
HERO_GROUP_18,Aselica và Arch
HERO_GROUP_19,Miruru và Lakrak
HERO_GROUP_20,Dimael và Ezekiel
HERO_GROUP_21,Dimael và Selene
HERO_GROUP_22,Rephy & Oddy
HERO_GROUP_23,Nhóm các hiệp sĩ đen
HERO_GROUP_24,Ezekiel và Viska (?)
HERO_GROUP_25,Sonia & Mirianne
HERO_GROUP_26,Lilia & Neraxis
HERO_GROUP_27,Crow và Theo
HERO_GROUP_28,Ezekiel và Mitra
HERO_GROUP_29,Pansirone và Mitra
HERO_GROUP_30,Ricardo & Demia
HERO_GROUP_31,Zafir & Laudia
HERO_GROUP_32,Leo & Clause
HERO_GROUP_33,Clause & Loman
HERO_GROUP_34,Chase & Leo
HERO_GROUP_35,Nyx & Oddy
HERO_GROUP_36,Scarlet & Artemia
HERO_GROUP_37,Neraxis & Lilia
HERO_GROUP_38,May & Requina
HERO_GROUP_39,Ricardo & Mirianne
HERO_GROUP_40,Fluss & Chrisha
HERO_GROUP_41,Theo & Ezekiel
HERO_GROUP_42,Mitra & Rodina
HERO_GROUP_43,Frey & Kasel
HERO_GROUP_44,Frey & Cleo
HERO_GROUP_45,Glenwys & Chrisha
HERO_GROUP_46,Ophelia & Shea
HERO_GROUP_47,Seria & Erze
HERO_GROUP_48,Cecilia & Leo
HERO_GROUP_49,Dosarta & Leo
HERO_GROUP_50,Dosarta & Mitra
HERO_GROUP_51,Clause & Demia
HERO_GROUP_52,Clause & Frey
HERO_GROUP_53,Mitra & Pansirone
HERO_GROUP_54,Mitra & Pansirone & Nhân mã
HERO_GROUP_55,Mitra & Nhân mã
NPC_KYLE_NAME,Kyle
NPC_BLACKKNIGHT_NAME,Hiệp sỹ đen
NPC_MALDUK_NAME,Malduk
NPC_IzakerrR_NAME,Izakerr
NPC_TARKAS_NAME,Tarkas
NPC_SIEG_NAME,Sieg
NPC_KINGOFSPIRIT_NAME,Vua Linh hồn
NPC_UNCONFIRMED_NAME,???????
NPC_UNCONFIRMED_GROUP_NAME,??? & ???
NPC_ELROSED_NAME,Tiên Hoa Hồng
NPC_EPIGAEL_NAME,Efigael
FAIRY_RHILL,Rhill
NPC_KAREN_NAME,Karen
NPC_LUA_NAME,Lua
NPC_CROWD_NAME,Đám đông
NPC_HALLHERO_NAME,Hillia
NPC_HARPY,Thần cánh chim
NPC_ORC,Thủy quái
NPC_DARKELF,Yêu tinh bóng tối
NPC_DARKNESS,Tiếng nói từ bóng tối
NPC_GNOLL,Gnoll
NPC_AGAMEMNON,Agamemnon
NPC_DRYAD,Nhân mã
NPC_MASK_NAME,Mặt nạ cười
NPC_IRIS,Iris
NPC_LEI,Lei
NPC_SOLDIER,Binh sĩ
NPC_SOLDIER1,Binh sĩ 1
NPC_SOLDIER2,Binh sĩ 2
NPC_SOLDIER3,Binh sĩ 3
NPC_SOLDIER4,Binh sĩ 4
NPC_SOLDIER5,Binh sĩ 5
NPC_SKELETONGIANT,Xương ma khổng lồ
NPC_SKELETON,Xương ma
NPC_INFIRA,Infira
NPC_DRACONIA,Quỷ săn rồng
NPC_TEMERER_QUESTION,Temeraire (?)
NPC_UNDEADORC,Orc thây ma
NPC_GOAT,Dê (?)
NPC_MIRURUPIRATES,Hải tặc Miruru
NPC_DarkElf_SOLDIER,Binh sĩ tiên bóng tối
NPC_DarkElf_SOLDIER1,Binh sĩ tiên bóng tối 1
NPC_DarkElf_SOLDIER2,Binh sĩ tiên bóng tối 2
NPC_DarkElf_FRIEND,Chiến hữu tiên bóng tối
NPC_DarkElf_FRIEND1,Chiến hữu tiên bóng tối 1
NPC_DarkElf_FRIEND2,Chiến hữu tiên bóng tối 2
NPC_DarkElf_FRIEND3,Chiến hữu tiên bóng tối 3
NPC_DarkElf_FRIEND4,Chiến hữu tiên bóng tối 4
