KEY,Thai
MONTHLYHERO_FREY_BIRTHDAY_TITLE,~ ยามเช้าอันเงียบเชียบ ~
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,~ ออกล่า ดังเช่นเคย ~
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,~ ไม่มีเรื่องสำคัญต้องรายงาน ~
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,~ สาวงาม ~
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,~ วันเกิดของบอส ~
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,~ ค่ำคืนแห่งแสงสีแดง ~
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,~ เล่นซ่อนแอบกับ Mirianne! ~
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,~ การพักผ่อนที่ไม่คาดคิด ~
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,~ Kaulah ในดินแดนมหัศจรรย์ ~
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,~ การมาเยือนของราชินี ~
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,~ เวลาสำหรับของหวาน ~
MONTHLYHERO_LEO_BIRTHDAY_TITLE,~ ได้โปรด อย่าเลยกำหนด ~
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,~ เจ้าได้รับเชิญ ~
MONTHLYHERO_ROI_BIRTHDAY_TITLE,~ วันโชคดีวันหนึ่ง ~
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,~ ปาร์ตี้ทดลอง ~
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,~ ความทรงจำของผู้บัญชาการดราโกนิค ~
MONTHLYHERO_THEO_BIRTHDAY_TITLE,~ ผู้สร้าง ~
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,~ ของขวัญแสนสุข ~
MONTHLYHERO_JANE_BIRTHDAY_TITLE,~ ความฝันสีขาวบริสุทธิ์ที่ถูกลืม ~
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,~ อัศวินแห่งจักรวรรดิ ~
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,~ ดินปืนเพื่อชีวิต ~
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,~ ความทุกข์ทรมานของนักบุญ ~
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,~ ร่วมกันเพื่อนักปราชญ์ ~
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,~ วันเกิดครั้งแรก ~
MONTHLYHERO_KARA_BIRTHDAY_TITLE,~ เซอร์ไพรส์! ~
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,~ วิธีฉลองแบบโจรสลัด ~
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,~ เพื่อเป้าหมาย ~
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,~ ผู้พยายามเป็นผู้สร้าง ~
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,~ เรียกตัวด่วน! ~
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,~ ความรู้สึกที่ส่งไป ~
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,~ ข้า... ข้าพร้อมแล้ว ~
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,~ ลีกของพวกเขาเอง ~
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,~ วันนี้ทั้งวันของแม่ครัว ~
MONTHLYHERO_FREY_BIRTHDAY_DESC,Frey หายตัวไปทุกเช้าในวันเกิดของนางและทำอย่างนี้มาหลายปีแล้ว นางแอบทำอะไรกันแน่
MONTHLYHERO_TANYA_BIRTHDAY_DESC,Tanya กำลังตามจีบ Roi จนละเลยหน้าที่ของนางในฐานะมือลอบสังหาร ทันใดนั้น ความทรงจำเรื่องวันเกิดที่นางใช้เวลาร่วมกับ Roi ก็แล่นเข้ามาในหัว
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,วันนี้คือวันเกิดของ Loman และเขาก็ทำงานเหมือนกับวันอื่นๆ คนกลุ่มหนึ่งวางแผนฉลองวันเกิดให้เขา
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,Aisha ผู้เป็นเชื้อพระวงศ์ระดับสูงแวะไปร้านค้าของ May กับ Priscilla! นางขอให้ May สร้างอะไรให้กันนะ
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,Demia อยากได้วันเกิดแบบเงียบๆ แต่หัวหน้าอัศวินผู้พิทักษ์สมควรได้รับการเฉลิมฉลองที่แท้จริง
MONTHLYHERO_LEWISIA_BIRTHDAY_DESC,นี่เป็นคืนที่มีพระจันทร์เต็มดวง ณ ริมทะเลสาบ และมีการรวมกลุ่มเล็กๆ แต่ยอมเยี่ยมเกิดขึ้น
MONTHLYHERO_SONIA_BIRTHDAY_DESC,Mirianne หายตัวไปตั้งแต่ตอนเช้า และ Sonia ก็กำลังทำทุกสิ่งทุกอย่างเพื่อค้นหานาง! เปิดเผยความลับของ Mirianne!
MONTHLYHERO_VERONICA_BIRTHDAY_DESC,วันนี้เป็นวันเกิดของนาง แต่ Veronica ก็ยุ่งเหมือนวันอื่นๆ จะมีใครยื่นมือมาช่วยไหมนะ
MONTHLYHERO_KAULAH_BIRTHDAY_DESC,Kaulah กำลังมีความสุขกับวันเกิดของเขาในเกาะแดนใต้อันอบอุ่น ในวันหยุดแสนสงบนี้จะมีอะไรเกิดขึ้นกับเขากัน
MONTHLYHERO_YURIA_BIRTHDAY_DESC,Yuria กลับบ้านหลังจากออกเดินทางเป็นเวลานานและมีบางสิ่งเกิดขึ้นในห้องของนาง
MONTHLYHERO_ARTEMIA_BIRTHDAY_DESC,Artemia ได้รับเชิญให้ไปที่กระท่อมฮีโร่ในวันเกิดของนาง คนที่แอบรอนางอยู่คือใครกันแน่นะ
MONTHLYHERO_LEO_BIRTHDAY_DESC,Leo ถูกทิ้งให้อยู่คนเดียวในวันเกิด ผู้มาเยือนจะช่วยคลายความหงุดหงิดของ Leo ได้หรือไม่นะ
MONTHLYHERO_CASSANDRA_BIRTHDAY_DESC,Cassandra คือเจ้าของโกลด์บาร์ซึ่งเป็นบาร์ที่ใหญ่ที่สุดในจักรวรรดิ นางจะฉลองวันเกิดอย่างไรดีนะ
MONTHLYHERO_ROI_BIRTHDAY_DESC,Roi เจอเหตุการณ์ประหลาดต่างๆ ในวันเกิดทุกปี ปีนี้จะเกิดอะไรขึ้นนะ จะเกิดเรื่องแปลกๆ อีกหรือเปล่า
MONTHLYHERO_MEDIANA_BIRTHDAY_DESC,Mediana ทำการทดลองทั้งวันทุกวัน โอกาสใหม่ๆ จะเข้ามาหานางในวันเกิดปีนี้บ้างไหม
MONTHLYHERO_MORRAH_BIRTHDAY_DESC,อดีตและปัจจุบัน Morrah กำลังทุกข์ทรมานกับสิ่งที่นางเคยเป็นและสิ่งที่นางเป็นอยู่
MONTHLYHERO_THEO_BIRTHDAY_DESC,มีคนถาม Theo ว่าวันเกิดของเขาคือวันไหน และเขาตอบไปว่าวันที่ผ่านมาวันนั้นไง
MONTHLYHERO_ANNETTE_BIRTHDAY_DESC,Annette ตื่นจากการหลับใหลในวันเกิดของนาง และใครบางคนที่คุ้นเคยก็มาเคาะประตู
MONTHLYHERO_JANE_BIRTHDAY_DESC,กาลครั้งหนึ่ง...
MONTHLYHERO_GLENWYS_BIRTHDAY_DESC,Glenwys ไปร้านอาหารที่นางชอบไปเยือนเสมอ ที่นั่น นางพบกับ...
MONTHLYHERO_LAKRAK_BIRTHDAY_DESC,Roi เตรียมทำกิจกรรมเซอร์ไพรส์สำหรับวันเกิดของ Lakrak ทว่า Lakrak กลับต่อว่า Roi เรื่องใช้ดินปืนในทางที่ผิด
MONTHLYHERO_LUCIAS_BIRTHDAY_DESC,Lucias ได้รับวันหยุดในวันเกิด แต่เขามีเหตุผลที่ยังไม่สามารถผ่อนคลายได้
MONTHLYHERO_LORRAINE_BIRTHDAY_DESC,มีปาร์ตี้วันเกิดสำหรับนักปราชญ์ Lorraine เหล่านางไม้และต้นไม้ปีศาจต่างรวมตัวกับเพื่อร่วมฉลองวันเกิดของนางกับ Selene นอกจากนี้ยังมีอีกกลุ่มหนึ่งที่อยากมาร่วมฉลองด้วย
MONTHLYHERO_LAVRIL_BIRTHDAY_DESC,Lavril ค้นพบแนวคิดของวันเกิดแล้ว แต่วันเกิดของ Lavril นั้น...
MONTHLYHERO_KARA_BIRTHDAY_DESC,หุ่นยนต์ Kara กำลังเรียนรู้เกี่ยวกับจิตใจและอารมณ์ของมนุษย์ Annette เตรียมอะไรไว้สำหรับวันเกิดของ Kara กันนะ
MONTHLYHERO_MIRURU_BIRTHDAY_DESC,นี่คือวันเกิดหัวหน้าที่รอคอยมาอย่างยาวนาน! โจรสลัด Miruru เอาของขวัญที่เตรียมไว้ให้ Miruru และ...
MONTHLYHERO_SHAMILLA_BIRTHDAY_DESC,ปีศาจแห่งคำสาปแฝงตัวอยู่ในเงามืดและมองหาโอกาส จากนั้น นางก็ขอความช่วยเหลือจากคนที่คาดไม่ถึง
MONTHLYHERO_EZEKIEL_BIRTHDAY_DESC,ขนมแครมบรูว์เลกลางทะเลทรายเนี่ยนะ จริงอ่ะ
MONTHLYHERO_FLUSS_BIRTHDAY_DESC,วันใหม่มาเยือนภูเขาหิมะดินแดนลม และเหล่าผู้ทรงอำนาจในจักรวรรดิมารวมตัวกันตามคำเรียกร้องที่ยังไม่ทราบที่มา เจ้าภาพจัดการประชุมครั้งนี้จะเป็นใครไปไม่ได้นอกจาก Fluss!
MONTHLYHERO_DIMAEL_BIRTHDAY_DESC,Dimael ฝันถึงชายที่เขาเคยทำงานด้วยสมัยที่ถูกส่งไปที่ทะเลทราย Epigael ปลุกเขา เป็นห่วงว่าเขากำลังฝันถึงอะไรอยู่
MONTHLYHERO_SHEA_BIRTHDAY_DESC,Shea ขี้อายเกินกว่าจะแสดงโชว์ต่อหน้าฝูงชนมาโดยตลอด และปีนี้เธอตัดสินใจจะแสดงโชว์ข้างถนนที่ลานกว้างเพื่อเป็นที่ระลึกในวันเกิดอายุ 16 ปี
MONTHLYHERO_NICKY_BIRTHDAY_DESC,ในค่ำคืนอันมืดมิด เกิดอะไรขึ้นที่อารีน่าใต้ดิน
MONTHLYHERO_YANNE_BIRTHDAY_DESC,ในวันเกิดของ Yanne นางตัดสินใจแสดงความสามารถด้านการทำอาหารให้ผู้คนเห็น นางนำเสนออาหารเลิศหรูซึ่งทำจากวัตถุดิบที่นางได้มาจากการออกล่า
MONTHLYHERO_SERIA_BIRTHDAY_TITLE,- ฝันร้าย -
MONTHLYHERO_ERZE_BIRTHDAY_TITLE,- เค้กเลือด -
MONTHLYHERO_OPHELIA_BIRTHDAY_TITLE,- สมบัติในป่า -
MONTHLYHERO_CROW_BIRTHDAY_TITLE,- ครัวนรก -
MONTHLYHERO_LAIAS_BIRTHDAY_TITLE,~ สงครามแท่นบูชาแห่งพลังไหลเวียนครั้งที่ 2 ~
MONTHLYHERO_SELENE_BIRTHDAY_TITLE,- ช่วงพักสั้นๆ -
MONTHLYHERO_MARIA_BIRTHDAY_TITLE,- การเฉลิมฉลองสองเท่า -
MONTHLYHERO_ZAFIR_BIRTHDAY_TITLE,- ของขวัญจาก Hoabis -
MONTHLYHERO_SERIA_BIRTHDAY_DESC,Seria หลงอยู่ในห้วงความทรงจำ และน้องสาวของนางมาหาเพื่อฉลองวันเกิด
MONTHLYHERO_ERZE_BIRTHDAY_DESC,Erze ได้รับเลือดหอมหวานเป็นของขวัญ แต่นางเคยพอใจ
