KEY,Japanese
Sub1_Ophelia_1_1,夢を見ました。
Sub1_Ophelia_1_2,世界中が闇に染まっていく、二度と見たくない夢。
Sub1_Ophelia_1_3,私はその時、闇に染まっていく世界をただただ見ていることしかできませんでした。
Sub1_Ophelia_1_4,夢を見ました。
Sub1_Ophelia_1_5,座り込んで子どもみたいに泣いてばかりいた私の側に、光が差し込むようにやってきた、あの人。
Sub1_Ophelia_1_6,彼が手を差し伸べると
Sub1_Ophelia_1_7,花は無数の色に染まり、
Sub1_Ophelia_1_8,大地と空は青さを取り戻し、
Sub1_Ophelia_1_9,太陽は闇を追い払いました。
Sub1_Ophelia_1_10,夢から覚めたとき、
Sub1_Ophelia_1_11,思い出せない、その顔。 
Sub1_Ophelia_1_12,思い出せない、その声。
Sub1_Ophelia_1_13,でも、私の背中を優しく撫でてくれたその温もりだけは、忘れられません。
Sub1_Ophelia_1_14,だから私は、必ずその人に会わなければならないんです。
Sub1_Ophelia_1_15,私の道しるべ。 
Sub1_Ophelia_1_16,私の星。
Sub1_Ophelia_1_17,私の運命。
Sub1_Ophelia_2_1,ううん…スターダストを離れて、もう1か月か。
Sub1_Ophelia_2_2,団長は今頃、大陸を渡っているんだろうな。
Sub1_Ophelia_2_3,今回の巡礼…あの人の夢も見たし、何だかいい感じ！
Sub1_Ophelia_2_4,ね、みんなもそうでしょ？
Sub1_Ophelia_2_5,もう～！くすぐったいよ～！あはははっ！
Sub1_Ophelia_2_6,魔法のタロット馬車さん。急いで世界樹に向かいましょう～！
Sub1_Ophelia_3_1,星のささやきを聞いたことがありますか
Sub1_Ophelia_3_2,神秘的で清らかなその音が、
Sub1_Ophelia_3_3,何故なら今日は
Sub1_Ophelia_3_4,占星術師なら、皆この空を目指して集まるはずです
Sub1_Ophelia_3_5,最初の占星術が生まれた聖地、世界樹にね
Sub1_Ophelia_3_6,わぁ…すごい人の数だなぁ。まぁ、今日はそういう日だもんね。 
Sub1_Ophelia_3_7,魔女、オペリア。 
Sub1_Ophelia_3_8,星を通して予知の歴史を受け継いだ者として、世界樹にお祈りいたします。
Sub1_Ophelia_3_9,これからも、人々の瞳の中に光を灯せるようにお助けください。
Sub1_Ophelia_3_10,それから…私の運命の人も、世界で一番カッコよく…
Sub1_Ophelia_3_11,ちょっと～静かにして！ここに来るといつもこうなんだから…ここは敬虔な場所なのよ。 
Sub1_Ophelia_3_12,あれ…？ヴェレキア～！どこに行くの！！
Sub1_Ophelia_3_13,こんなところで道に迷ったら危ないよ！
Sub1_Ophelia_3_14,ヴェレキア、そこにいるの？
Sub1_Ophelia_3_15,…あの光、何だろう…
Sub1_Ophelia_3_16,えっ…？これ、魔法陣…？
Sub1_Ophelia_3_17,あ…！
Sub1_Ophelia_3_18,あなたが来ることは知っていました。
Sub1_Ophelia_3_19,私の最後の夢となった少女…
Sub1_Ophelia_3_20,あなたは誰…
Sub1_Ophelia_4_1,あ…頭痛い…一体何が起きたんだろう…
