KEY,"English"
E_C19_May_Lucias_01,"Did you need me, Sir Ricardo?"
E_C19_May_Lucias_02,"You seem to leave your spot pretty often these days."
E_C19_May_Lucias_03,"The recent battle with demons had a lot of civilian casualties, along with the holy warriors."
E_C19_May_Lucias_04,"I was delayed while attending to those who were in need. I apologize."
E_C19_May_Lucias_05,"Hahaha! There's no need to apologize!"
E_C19_May_Lucias_06,"I already know that you can't ignore anyone in need of help."
E_C19_May_Lucias_07,"By the way, Lucias, I found out it's your birthday today!"
E_C19_May_Lucias_08,"I would have prepared a celebration earlier,"
E_C19_May_Lucias_09,"but I tend to forget about these events as I grow older, hahaha!"
E_C19_May_Lucias_10,"I'm sorry I'm kind of late."
E_C19_May_Lucias_11,"It's not much, but here's a little something for you."
E_C19_May_Lucias_12,"Thank you."
E_C19_May_Lucias_13,"...But how did you know that today is my birthday?"
E_C19_May_Lucias_14,"A letter from the Magician of Stardust arrived for me today."
E_C19_May_Lucias_15,"He must be a friend of yours if he remembered your birthday. What an interesting friend you have."
E_C19_May_Lucias_16,"Ha ha... yeah... I suppose so."
E_C19_May_Lucias_17,"By the way, do you ever visit your hometown?"
E_C19_May_Lucias_18,"No, I've never had the chance."
E_C19_May_Lucias_19,"All parents tend to long for their children once they leave on their own."
E_C19_May_Lucias_20,"They always worry about the health and the safety of their children."
E_C19_May_Lucias_21,"That in turn makes them stay awake at night."
E_C19_May_Lucias_22,"And today happens to be an important day for you."
E_C19_May_Lucias_23,"Why don't you take a breather and visit your hometown?"
E_C19_May_Lucias_24,"Lucias, take these to your parents."
E_C19_May_Lucias_25,"Thank you for always sharing the crops."
E_C19_May_Lucias_26,"Ha ha ha, there's no need to thank me. You're the one who's keeping this village safe."
E_C19_May_Lucias_27,"I'm always grateful to the Goddess."
E_C19_May_Lucias_28,"After all, she has sent us a blessed child like you to our side..."
E_C19_May_Lucias_29,"I'm embarrassed to hear that from everyone..."
E_C19_May_Lucias_30,"Outside of this village, the world is filled with sadness and pain."
E_C19_May_Lucias_31,"We have suffered through similar hardship until you were born."
E_C19_May_Lucias_32,"You are the reason why we are able to smile today."
E_C19_May_Lucias_33,"I am also relieved... to know that everyone is happy..."
E_C19_May_Lucias_34,"(If I can use what little strength I have to help those in this village...)"
E_C19_May_Lucias_35,"(Will I be able to save those outside of this village as well?)"
E_C19_May_Lucias_36,"(To create a world... where everyone can be happy... without pain or suffering...)"
E_C19_May_Lucias_37,"There are people in the world that I could not save."
E_C19_May_Lucias_38,"Even now, I can still hear the voices through the chaos and horror coming from the palace."
E_C19_May_Lucias_39,"I don't think I can return home just yet."
E_C19_May_Lucias_40,"(Not until I can complete my mission...)"
E_C19_May_Lucias_41,"(I must save those in pain... and grant them peace.)"
E_C19_May_Lucias_42,"I'm sorry for turning down your kind offer."
E_C19_May_Lucias_43,"Hahaha, don't be!"
E_C19_May_Lucias_44,"If that's what you wish, I can't force you to leave."
E_C19_May_Lucias_45,"There wasn't much written in this letter..."
E_C19_May_Lucias_46,"I just made the suggestion since I felt that this person wanted you to get some rest."
E_C19_May_Lucias_47,"That might be a bit hard to do right now, ha ha."
E_C19_May_Lucias_48,"Wahaha, that's enough nagging from me today. You should really take it easy for today."
E_C19_May_Lucias_49,"...I will try my best. May the blessings of the Goddess be with you."
E_C19_May_Lucias_50,"Whew..."
E_C19_May_Lucias_51,"Huh? This is...?"
E_C19_May_Lucias_52,"I knew you were going to act like that. Have a great birthday."
E_C19_May_Lucias_53,"Hahaha, you're still the same..."
E_C19_May_Lavril_01,"……"
E_C19_May_Lavril_02,"Wow! That's a huge cake! Awesome! Happy birthday!"
E_C19_May_Lavril_03,"Happy birthday! Here's your present! I really like this, but I'll give it to you for your birthday!"
E_C19_May_Lavril_04,"Thanks! Let's dig in now! Look! My mom baked my favorite!"
E_C19_May_Lavril_05,"Hold on! You can't eat the cake yet! What about the song? And the fireworks!?"
E_C19_May_Lavril_06,"Then, let's sing quickly and eat the cake!"
E_C19_May_Lavril_07,"Happy birthday to you, happy birthday to you!"
E_C19_May_Lavril_08,"Birthday...?"
E_C19_May_Lavril_09,"Hm? Welcome, Lavril."
E_C19_May_Lavril_10,"What is it?"
E_C19_May_Lavril_11,"Hello... Uh, I just have a question."
E_C19_May_Lavril_12,"U-uh, so... what's this festival going on in this village now?"
