KEY,Spanish
MENU_ARCHIVE,Índice
ARCHIVE_SELECT,Seleccionar Índice
ARCHIVE_HERO,Índice de Héroes
ARCHIVE_HERO_DESC,"Muestra la información del héroe, como su perfil y voz."
ARCHIVE_MONSTER,Índice de Monstruos
ARCHIVE_MONSTER_DESC,Muestra las descripciones de habilidades y monstruos.
ARCHIVE_ITEM,Índice de Artículos
ARCHIVE_ITEM_DESC,Muestra las descripciones y la información sobre artículos como armas únicas y artefactos.
ARCHIVE_UNIQUE_WEAPON,Índice de Armas Únicas
ARCHIVE_UNIQUE_WEAPON_DESC,Muestra información sobre armas únicas.
ARCHIVE_ARTIFACT,Índice de Artefactos
ARCHIVE_ARTIFACT_DESC,Muestra información sobre artefactos.
ARCHIVE_EQUIMENT,Índice de Equipos Generales
ARCHIVE_EQUIMENT_DESC,Muestra información sobre equipos.
ARCHIVE_NORMAL_ITEM,Índece de Artículos\nGenerales
ARCHIVE_NORMAL_TEM_DESC,Muestra información sobre artículos generales.
ARCHIVE_TREASURE,Índice de Tesoros Únicos
ARCHIVE_TREASURE_DESC,Muestra información sobre tesoros únicos.
ARCHIVE_COLLECT_RATE,Progreso de Recopilación
ARCHIVE_PROFILE,Perfil
ARCHIVE_HERO_SKILL_SHOW,Mostrar Atributos de Habilidad
ARCHIVE_HERO_SKILL_HIDE,Ocultar Atributos de Habilidad
ARCHIVE_HERO_SKILL_SHOW2,Ver Atributo de Habilidad
ARCHIVE_TRANSCEND,Trascender
ARCHIVE_VOICE,Voz
ARCHIVE_ILLUST,Ilustración
ARCHIVE_UI_HIDE,Ocultar Interfaz
ARCHIVE_SHOW_ANI,Ver Animación
ARCHIVE_HERO_NAME,Nombre
ARCHIVE_HERO_TITLE,Título
ARCHIVE_HERO_GENDER,Género
HERO_GENDER_MALE,Masculino
HERO_GENDER_FEMALE,Femenino
HERO_GENDER_PAVEL,Masculino (+Femenino)
HERO_GENDER_KARA,Neutral (tipo femenino)
HERO_GENDER_RAVRIL,Femenino (el conejo es macho)
ARCHIVE_HERO_RACE,Raza
ARCHIVE_HERO_AGE,Edad
ARCHIVE_HERO_AGE_DESC,{1} Años
ARCHIVE_HERO_LENGTH,Altura
ARCHIVE_HERO_LENGTH_DESC,{1} CM
ARCHIVE_HERO_BIRTH,Cumpleaños
ARCHIVE_HERO_BIRTH_DESC,{1} (Mes) / {2} (Día)
ARCHIVE_HERO_CONSTELL,Constelación
ARCHIVE_HERO_LIKE,Gustos
ARCHIVE_HERO_UNLIKE,Desagrados
ARCHIVE_HERO_STORY,Historia
ARCHIVE_HERO_NOTHOLDING,No tienes este héroe.
ARCHIVE_CV_NAME,Actor de Voz (CV)
ARCHIVE_VOCIE_NOINFO,No hay información sobre el actor de voz.
HERO_VOICE_ATTACK_1,Gritar
