KEY,Vietnamese
MENU_ARCHIVE,Danh mục
ARCHIVE_SELECT,Chọn chỉ số
ARCHIVE_HERO,Chỉ số anh hùng
ARCHIVE_HERO_DESC,"Hiển thị thông tin về anh hùng, chẳng hạn như thông tin vắn tắt và giọng nói."
ARCHIVE_MONSTER,Chỉ số quái vật
ARCHIVE_MONSTER_DESC,Hiển thị miêu tả về kĩ năng và quái vật.
ARCHIVE_ITEM,Chỉ số vật phẩm
ARCHIVE_ITEM_DESC,Hiển thị miêu tả và thông tin về vật phẩm ví dụ như vũ khí chuyên dụng và cổ vật.
ARCHIVE_UNIQUE_WEAPON,Chỉ số vũ khí chuyên dụng
ARCHIVE_UNIQUE_WEAPON_DESC,Hiển thị thông tin về vũ khí chuyên dụng.
ARCHIVE_ARTIFACT,Chỉ số cổ vật
ARCHIVE_ARTIFACT_DESC,Hiển thị thông tin về cổ vật.
ARCHIVE_EQUIMENT,Số trang bị thông thường
ARCHIVE_EQUIMENT_DESC,Hiển thị thông tin về trang bị.
ARCHIVE_NORMAL_ITEM,Số vật phẩm thông thường
ARCHIVE_NORMAL_TEM_DESC,Hiển thị thông tin về các vật phẩm thông thường bao gồm cả vật phẩm tiêu hao.
ARCHIVE_TREASURE,Danh mục bảo vật chuyên dụng
ARCHIVE_TREASURE_DESC,Hiển thị thông tin về bảo vật chuyên dụng.
ARCHIVE_COLLECT_RATE,Tiến trình thu thập
ARCHIVE_PROFILE,Thông tin vắn tắt
ARCHIVE_HERO_SKILL_SHOW,Hiển thị thuộc tính kĩ năng
ARCHIVE_HERO_SKILL_HIDE,Ẩn thuộc tính kĩ năng
ARCHIVE_HERO_SKILL_SHOW2,Xem thuộc tính kỹ năng
ARCHIVE_TRANSCEND,Siêu việt
ARCHIVE_VOICE,Giọng nói
ARCHIVE_ILLUST,Hình minh họa
ARCHIVE_UI_HIDE,Ẩn giao diện người dùng
ARCHIVE_SHOW_ANI,Xem hoạt ảnh
ARCHIVE_HERO_NAME,Tên
ARCHIVE_HERO_TITLE,Danh hiệu
ARCHIVE_HERO_GENDER,Giới tính
HERO_GENDER_MALE,Nam
HERO_GENDER_FEMALE,Nữ
HERO_GENDER_PAVEL,Nam (+Nữ)
HERO_GENDER_KARA,Trung tính (Thiên về nữ)
HERO_GENDER_RAVRIL,Nữ (Con thỏ là đực.)
ARCHIVE_HERO_RACE,Chủng tộc
ARCHIVE_HERO_AGE,Tuổi
ARCHIVE_HERO_AGE_DESC,{1} Tuổi
ARCHIVE_HERO_LENGTH,Chiều cao
ARCHIVE_HERO_LENGTH_DESC,{1} CM
ARCHIVE_HERO_BIRTH,Ngày sinh
